,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC
0,65.73450584667036,0.4341699356362113,14.753609459151273,35.76398029408446,118.46775031000507,20.36503362151777,534.6320346320347,273.28556806550665,97.82840110708963,75.40249995794149,67.14233443102817,8.315983439825784,189.83735626230188,139.84074684239428,49.808088705664936,26.931771225784498,79.06263146173072,69.49829292286326,28.089411365755787,307.4877085516241,532.2595926101374,89.82543125710154,42.591122919614,45.81492340091671,65.5295585935819,4.760415108197435,18.963778794694797,4.196550507836877,75.8207678323174,803.1414813116257,8.174812694809734,331.3630105553006,92.97486111369169,8.783095723014256,234.58552690282858,35.80676079710456,20.368751651657757,254.91771244952017,596.7637540453075,79.95126066173025,8.674680048235889,92.0134769610402,40.27907565496778,12.119570338264392,44.721788871554864,106.5725174776123,45.86062297519039,72.7580372250423,66.33283971726486,3.312273814635343,11441.176470588236
1,67.51616656810941,0.49428952279392163,17.615660579267757,37.95716595840698,125.74580805952097,23.099125840537944,553.5171356421356,293.2001023541453,114.22888469843973,80.9119967699063,75.77122210025613,9.132469428291095,194.2737663593356,145.59129599121363,50.82605373516241,27.42246177778858,82.54504961520378,72.55841675828945,29.22802158984938,328.3226404449101,545.7415442918049,93.26458010536102,44.50901165131178,47.63424453896023,68.26636445796095,4.887803816492799,19.63614622921999,4.945318223339695,83.53192171960218,840.9816555835818,8.871374174500177,336.6571821936668,98.49594024637223,8.926213509843857,239.73840010707593,38.033360513854916,22.333431585794727,258.5486343306266,630.9320388349514,84.95632205455057,8.78144733600446,97.15301570730318,43.779241328215456,13.373327522849335,48.16879875195008,112.80301152704061,48.35539879107471,74.18794106722792,68.73596629162023,3.550931321433683,10915.308823529413
2,71.25000476889915,0.610837490954793,20.579241443432803,40.80630664510549,133.9949360748166,25.286320845341017,556.1571067821068,302.02968270214944,131.80721737279114,86.35137363099544,82.71048298572997,10.25418192260751,195.84331295970165,147.9705656232839,51.5865022389651,27.96481612017209,87.33406745688055,76.2032482688116,30.757396784129764,334.5320383654389,544.1659876835623,94.30022724925111,45.60091094165143,50.1663294379981,69.41756444648468,5.150204697849652,20.048488844075596,5.851429450016732,90.39118810822372,841.5208667736757,9.78094956124119,329.3353097751262,104.19657754408131,9.133811382665762,239.86486124743465,40.43910847889218,24.172768483320798,258.31295323288026,612.3553398058252,91.96916299559471,8.900169862942649,103.13975228965975,48.04185017926218,15.016112315085273,50.434529381175246,119.75643573616405,51.80160722550243,77.56605175188808,70.1632596980291,4.05806702242941,10180.808823529413
3,74.40184651774985,0.6174582016224245,24.014297493114398,43.03595201383927,145.3865747952134,27.942391930835736,561.5393217893218,304.46212896622313,149.63707837829617,92.29612556989284,88.52085620197585,11.343037308253763,197.42915846541663,150.7611477210324,51.780830194043645,28.79170413942296,90.67385117913439,81.45942557336573,31.84389747647441,340.7465946643024,544.3936522974893,95.60534035740109,46.985001667759335,52.13986042862452,70.60732473568693,5.363981339172776,20.324930841024845,7.327819331265205,98.83969628916694,845.7154322403119,10.768712014671896,322.47368517668656,109.60368629345423,9.25520479746549,240.93535290443472,43.49967812540234,26.84546581830748,257.68172738720745,614.0925566343042,97.93176492642235,8.958014029901065,109.15038200540977,53.38106708463483,17.34423584283426,53.304628185127406,125.51927798171573,58.26792701569359,80.5310965292394,71.93632352716669,4.847625181459445,9386.529411764706
4,75.38332411346165,0.7825753132498,26.903277020507694,43.61942010454665,157.86981008753443,30.4514121037464,573.5955988455988,312.98106448311154,167.8871772255847,98.16379266836022,94.02872301500183,11.855828367674157,197.03946959494456,149.8715540911587,50.79639633236193,29.460708295860577,91.44671005419316,84.88083251355053,32.65704919885834,351.83710808414605,553.3655139744197,93.47641772544159,47.82105517407957,53.22812487095842,71.37210403247788,5.582640806278308,20.536195351482718,8.365262691399785,104.46626029301679,861.6685393258427,11.651303940193925,325.75831115190454,114.52789803236655,9.624589839330165,239.5321227804051,47.001316109465975,27.10332770922692,256.5281167223935,622.5851132686084,102.2235136063986,9.04097457242515,111.20241541308783,59.5942904158957,19.107957222274567,54.77483099323973,131.96170123220088,60.91827833330996,79.55499153976311,72.29536051783887,5.161585802204093,9314.441176470587
5,76.75722488220819,0.8256586814944586,31.008745153763837,44.04979128276484,173.87313309754623,31.337953890489914,590.1791125541125,331.4339815762538,187.14673499802305,106.25901313907909,98.77680204903037,11.7939071960179,196.66050277979213,150.78898956617243,49.19304854644964,29.921440898373884,91.06428942614635,82.72790926451016,34.01927261423687,375.4254856129604,566.5544291804832,95.21741555624419,49.41359281368253,53.27563281991989,72.89928129796726,5.441848129156862,20.31434370071615,9.722810603525463,115.77125441129292,884.2390506764503,12.256766425698848,329.3494079853144,120.41013730699913,9.268655238741797,240.8885517979834,45.306453228044575,27.862673551114995,257.1920621824656,644.9242718446602,106.60468022620051,9.052852011773707,114.4221752954017,62.051228401979145,19.89743710543673,57.177639105564225,141.15151160887558,65.0729001584786,75.53196318765218,73.62087232645833,4.754758837841706,9271.058823529413
6,78.95902561852623,0.894348935521956,33.922188305878635,45.017073445902746,188.60476338824853,33.23722382324688,590.7281746031746,353.20266120777893,205.37082940478726,113.71736680069313,105.18898646176363,12.761026156460144,200.89086294416245,155.09744645799012,49.87779870637572,30.699812838773973,92.95384919947539,82.38043708890304,34.92095967445672,395.14346739743695,567.8326859308385,97.82380952380953,51.430281908836825,53.891749597390266,74.50524322540848,5.593052514179236,20.71416013857649,12.035182287662684,118.99967917869746,897.4742031644118,13.000337190463267,331.9326663607159,126.9365117704985,8.987143584521386,245.55208798072633,45.83743186987683,30.22720712296465,260.1246037604759,647.6187702265372,112.49339207048457,9.189429597645258,118.96737531438333,65.71263323665958,21.453618204089324,59.29433177327093,149.25097617433187,72.07285808451257,74.51042053567744,76.40315710730806,4.7382996994418205,8590.926470588236
7,81.84199683345096,0.9215340671059146,38.87784853428767,47.09973299236584,194.1323767462601,36.62551392891451,589.2911255411256,372.1033776867963,219.39400529213177,123.35298867784863,108.34559092572265,14.211429391916147,206.37803446251598,160.2116419549698,50.616124102637,31.577574682190516,96.03946945138699,83.69043072353065,35.08169666826801,407.6039332634803,576.5412600663193,100.60101229211858,53.45712708326145,55.95088161209068,77.00423187823667,5.961780667274186,21.299115799270922,14.438991742563333,124.13303390011764,918.3242375601926,14.031654782758876,333.0666360715925,135.7770758625815,9.09224372029871,249.5545641117159,47.05998311946554,32.47501677067876,261.3662773025316,639.390291262136,116.81738369731622,9.474708574836944,126.07545200018981,70.76012375233152,23.81811222086121,60.983047321892876,155.84865206107227,77.27533203371527,75.06842474516115,78.98612277300276,4.907941278701261,7915.779411764706
8,84.92785609369933,0.9566408957611303,45.26591582899146,50.36643977285548,207.6146835504896,41.565043227665704,615.3998917748918,402.442681678608,244.0389762462362,138.41124812839624,111.00612879619466,15.548256634838586,214.685607237819,167.2670510708402,52.04824436704812,32.737184317347655,100.19601098710747,86.25822193931678,36.08873315059203,428.06754251632145,602.66262434865,102.80394587336019,56.74628204685828,58.808956518148406,80.43846562136883,6.146192347972743,22.154399027896275,18.25807881194208,132.5935194096888,966.5926393029122,14.977868791789001,348.81652134006424,150.15726203526503,9.080433921701742,253.4920808423307,49.41654864598086,34.859715813225456,266.7109514090929,679.7851132686084,125.72946542943731,9.800754658264285,135.33239216058465,77.9762510191697,26.43576274380477,63.40280811232449,166.14409969837968,82.89289370713715,74.57475960546408,82.04202860937667,5.0532621807847224,8412.441176470587
9,86.42635865936707,1.0043584567924744,49.57988176060909,51.703320672407955,217.30638274478184,43.94825168107589,630.6085858585859,425.1806550665302,264.8395328325071,147.52867549334636,116.49917672886937,16.65352860937612,217.3723712835388,171.14242174629325,52.48480702253181,33.231727473809585,102.59832718814184,87.80815153444053,37.1234634187696,447.08108325945034,607.5112269066793,103.86649106497262,58.51779901774726,59.64838749638684,82.45335609462192,6.324612706227983,22.613950722614337,21.219911908616496,137.9660998823655,989.9748910800275,15.657217109537555,351.93330885727397,158.91848906560637,9.118366711925775,255.47093334523066,50.430353489835916,36.28019230378306,269.45855226019364,695.5203883495145,131.56250195269786,9.98944515760947,140.2460257201158,83.37282065219415,28.285828700650146,64.47425897035882,174.789567209895,86.65336661851535,74.96339399942222,84.17974749248125,5.204624915659695,8349.323529411764
10,90.00259428113614,1.0472712038694443,55.08799536866481,54.05125794441729,223.5966513343962,46.97146974063401,639.5344516594516,452.3408393039918,281.74982511633567,159.90382059521207,121.86361141602634,18.358819728623736,220.08767567940882,176.40873146622735,53.60604875968441,34.12746408692059,106.15619509539482,85.55805026715275,37.59880747167039,458.20625453373094,612.8817621980104,102.74650346038632,60.3500914392188,60.8623281166123,84.98064812291096,6.640201025529426,23.221618966364176,24.000198974377525,140.72355897764945,998.7491401054804,16.536001250071962,352.68354290959155,172.97056910871223,9.300308327675944,256.8794280360489,52.48667439165701,38.30573455572947,273.83483868166223,682.8498381877023,141.50017183741056,10.361950700846721,148.23259621316376,90.50241436182293,31.365177141241873,64.91430057202288,183.15826883958007,92.03302806333534,75.94857826750857,86.11813199395448,5.582234353595453,8532.882352941177
11,91.89638135932701,1.1137311954907263,57.50781537813799,55.45673348125305,232.50551289804346,49.872324687800194,648.3336940836941,469.23285568065506,294.34071899996957,166.87135142410122,127.40267105744603,19.09194247014622,222.2756828619773,179.5066447007139,54.65802473523349,35.07408667752364,108.47207443517854,88.82094014621067,37.544635035465,474.87861690980895,630.5854097584083,102.10495816547878,61.886695881209526,61.653734979559815,86.4347645210805,6.835704473430083,23.98571576307557,24.919234491303914,141.30007485830393,1017.6565008025682,17.144029672760766,359.9291418081689,181.12225711153638,9.92454458022177,257.6715668778442,54.605081326981676,39.62641026162259,277.2600416865691,681.3184466019418,147.54962976848813,10.820710312366282,153.16226925449627,97.14938514748643,33.62849806840667,65.12095683827353,191.5738502186163,96.7185812658654,76.60901324749288,87.39886722745523,5.897615980698849,9338.823529411764
12,92.77034889266162,1.1302037551890924,60.795668649018474,56.1890865330375,239.7577195843794,53.22329490874159,645.1031746031746,487.2389969293756,313.45903160071776,173.4555441530257,130.67663739480423,20.1395170746883,221.02867847646672,182.12666117517847,55.702128793801975,35.33323205561362,109.79619410556532,90.30468915764905,37.62621866787238,484.92359152091564,645.3603979156798,102.55448817270943,63.48932058935164,61.70718916463641,87.40621727467041,7.089754226568557,24.653119263683134,26.59073683829714,142.74355683884076,1025.5066498509516,17.114595412564867,362.4651491509867,188.52841827539436,10.720072414573433,259.08746765414475,56.128649700298986,41.60617364259143,277.56800121585826,683.7708737864077,155.00106226762895,11.222027722669571,157.81317325487592,103.73228692372702,35.93725855083388,64.9603744149766,196.6800252519348,102.21168814776377,75.56856918822996,88.22050898432133,5.985616144267926,10017.20588235294
13,93.63485493008794,1.1181810564801766,64.72019016542988,57.14339438155767,243.95719181220107,56.15302593659943,642.6911976911977,503.0168884339816,334.45360260348554,180.61775542134217,129.22521039151115,21.850814846722663,218.57971615041956,185.21004942339374,56.50454900845831,35.370554920881844,111.34814778154463,89.60091044113959,38.03063271822986,490.29741275086644,660.9758408337281,103.75994215473608,65.56790080857573,61.71821447743321,88.50033711572394,7.390612461406635,25.240699087360067,28.39599518843778,146.64207036680568,1024.601008942903,17.24309787570008,356.8701239100505,197.17024953085226,10.77340744512333,262.06165789238867,56.57582650243909,43.71648405260911,278.36423639758567,683.5987055016182,162.7800168713094,11.709223168786712,163.65918473876525,109.72520578851159,38.65683595590314,65.32095683827353,201.6930487035002,109.3516401834425,73.37996780983038,89.33560294948323,5.7967347522950785,10598.338235294117
