Year0,Year1,Year2,Electiony1,Electiony2,Electiony3,Electiony4
2238.9320000000002,2068.901,2055.103,2086.0170000000003,2120.45,2132.598,2134.981
2102.251,2383.291,2513.69,2540.55,2546.022,2564.401,2648.6209999999996
2662.482,2735.091,2914.993,2903.671,2927.665,2925.035,2973.179
2983.7270000000003,3063.085,3203.759,3275.757,3258.0879999999997,3274.0290000000005,3232.009
3438.7209999999995,3586.827,3771.845,3851.366,3893.296,3954.1209999999996,3966.335
4301.973,4495.777,4615.853,4709.9929999999995,4788.688,4825.799,4844.779
4943.935,4935.693,5151.245,5245.974,5365.045,5415.7119999999995,5506.396
5727.96,5616.526,5759.972,5889.5,5932.710999999999,5965.265,6008.504
6309.651999999999,6729.755,6816.203,6837.641,6696.753000000001,6688.794,6813.535
6902.105,6802.496999999999,7339.893,7483.371,7612.668000000001,7686.059,7749.151
8073.2390000000005,8308.021,8680.162,8725.006,8839.641,8891.435,9009.913
9257.128,9312.937,9421.565,9534.346,9637.732,9732.979,9834.51
10091.049,10506.372,10737.478000000001,10817.896,10998.322,11096.976,11212.205
11715.393,12287.0,12877.593,12924.178999999998,13160.841999999999,13178.419,13260.506000000001
13280.858999999999,13559.032,14145.645,14221.146999999999,14329.523000000001,14464.983999999999,14609.876
15066.597,15456.928,15761.966999999999,15671.383,15752.308,15667.032,15328.027
15356.058,15750.625,16004.107,16129.418,16198.806999999999,16220.667,16239.138
16663.648999999998,17143.038,17514.061999999998,17613.264,17668.203,17764.388,17876.179
18359.432,18813.923,19253.959,19010.848,17302.511000000002,18583.984,17523.872
