payroll_y1,payroll_y2,payroll_y3,payroll_ey1,payroll_ey2,payroll_ey3
38600,43093,44411,45178,45294,45245
42942,46706,48006,48924,49320,49597
50240,48942,51429,52631,52604,52777
52763,51485,53358,54272,54227,54142
54522,56041,57283,58619,58903,58793
61719,64854,66225,68330,68484,68721
71121,70521,71642,74141,74264,74674
77607,78630,77540,79704,79892,79911
83800,87956,90481,90099,90213,90490
91380,88907,91520,95032,95344,95629
98233,100121,103138,105674,106013,106276
108476,109367,108357,108925,108959,109139
111733,115458,118031,120199,120410,120665
123929,126954,130177,132230,132353,132351
131454,130628,130454,131937,132093,132447
134655,136852,138174,137213,136753,136272
130045,130625,132562,134331,134518,134677
137040,139818,142587,144647,144916,145061
147196,149549,151553,141059,141720,122898
