Stock_y1,Stock_y2,Stock_y3,Stock_ey
0.26649999999999996,-0.0814,0.0223,-0.0213
0.1288,0.17629999999999998,0.1437,0.0842
-0.0377,0.4396,0.2077,0.0227
-0.1277,0.3396,0.16399999999999998,-0.0934
0.18710000000000002,-0.1081,0.17,0.1457
0.10880000000000001,-0.1894,0.152,0.042699999999999995
-0.1519,0.0482,0.0611,0.1458
-0.16579999999999998,-0.2757,0.3832,0.17859999999999998
-0.1727,-0.0315,0.04190000000000001,0.1493
-0.09230000000000001,0.196,0.2027,-0.0374
0.2766,0.22579999999999997,0.0226,0.1185
0.2696,-0.0434,0.2032,0.0417
0.13720000000000002,0.021400000000000002,0.3345,0.2601
0.22640000000000002,0.161,0.2522,-0.0617
-0.071,-0.16760000000000003,0.2532,0.0315
-0.0060999999999999995,0.1629,0.0643,-0.33840000000000003
0.1882,0.11019999999999999,0.0553,0.0726
0.265,0.07519999999999999,-0.0223,0.13419999999999999
0.25079999999999997,-0.056299999999999996,0.2234,-0.0371
