DATE,GDPC1
01/10/1945,2238.932
01/10/1946,2068.901
01/10/1947,2055.103
01/01/1948,2086.017
01/04/1948,2120.45
01/07/1948,2132.598
01/10/1948,2134.981
01/10/1949,2102.251
01/10/1950,2383.291
01/10/1951,2513.69
01/01/1952,2540.55
01/04/1952,2546.022
01/07/1952,2564.401
01/10/1952,2648.621
01/10/1953,2662.482
01/10/1954,2735.091
01/10/1955,2914.993
01/01/1956,2903.671
01/04/1956,2927.665
01/07/1956,2925.035
01/10/1956,2973.179
01/10/1957,2983.727
01/10/1958,3063.085
01/10/1959,3203.759
01/01/1960,3275.757
01/04/1960,3258.088
01/07/1960,3274.029
01/10/1960,3232.009
01/10/1961,3438.721
01/10/1962,3586.827
01/10/1963,3771.845
01/01/1964,3851.366
01/04/1964,3893.296
01/07/1964,3954.121
01/10/1964,3966.335
01/10/1965,4301.973
01/10/1966,4495.777
01/10/1967,4615.853
01/01/1968,4709.993
01/04/1968,4788.688
01/07/1968,4825.799
01/10/1968,4844.779
01/10/1969,4943.935
01/10/1970,4935.693
01/10/1971,5151.245
01/01/1972,5245.974
01/04/1972,5365.045
01/07/1972,5415.712
01/10/1972,5506.396
01/10/1973,5727.96
01/10/1974,5616.526
01/10/1975,5759.972
01/01/1976,5889.5
01/04/1976,5932.711
01/07/1976,5965.265
01/10/1976,6008.504
01/10/1977,6309.652
01/10/1978,6729.755
01/10/1979,6816.203
01/01/1980,6837.641
01/04/1980,6696.753
01/07/1980,6688.794
01/10/1980,6813.535
01/10/1981,6902.105
01/10/1982,6802.497
01/10/1983,7339.893
01/01/1984,7483.371
01/04/1984,7612.668
01/07/1984,7686.059
01/10/1984,7749.151
01/10/1985,8073.239
01/10/1986,8308.021
01/10/1987,8680.162
01/01/1988,8725.006
01/04/1988,8839.641
01/07/1988,8891.435
01/10/1988,9009.913
01/10/1989,9257.128
01/10/1990,9312.937
01/10/1991,9421.565
01/01/1992,9534.346
01/04/1992,9637.732
01/07/1992,9732.979
01/10/1992,9834.51
01/10/1993,10091.049
01/10/1994,10506.372
01/10/1995,10737.478
01/01/1996,10817.896
01/04/1996,10998.322
01/07/1996,11096.976
01/10/1996,11212.205
01/10/1997,11715.393
01/10/1998,12287
01/10/1999,12877.593
01/01/2000,12924.179
01/04/2000,13160.842
01/07/2000,13178.419
01/10/2000,13260.506
01/10/2001,13280.859
01/10/2002,13559.032
01/10/2003,14145.645
01/01/2004,14221.147
01/04/2004,14329.523
01/07/2004,14464.984
01/10/2004,14609.876
01/10/2005,15066.597
01/10/2006,15456.928
01/10/2007,15761.967
01/01/2008,15671.383
01/04/2008,15752.308
01/07/2008,15667.032
01/10/2008,15328.027
01/10/2009,15356.058
01/10/2010,15750.625
01/10/2011,16004.107
01/01/2012,16129.418
01/04/2012,16198.807
01/07/2012,16220.667
01/10/2012,16239.138
01/10/2013,16663.649
01/10/2014,17143.038
01/10/2015,17514.062
01/01/2016,17613.264
01/04/2016,17668.203
01/07/2016,17764.388
01/10/2016,17876.179
01/10/2017,18359.432
01/10/2018,18813.923
01/10/2019,19253.959
01/01/2020,19010.848
01/04/2020,17302.511
01/07/2020,18583.984
01/10/2020,17523.872
