Month_10,Month_11,Month_6,Month_7,Month_8,Month_9,Name,Year
30.97598000000001,39.03335600000001,42.042500333333344,40.898417096774175,34.69982548387097,31.28218099999999,"Hubert Humphrey, Jr.",1968
48.234658709677426,47.899258,41.291199999999975,41.32431612903226,46.63116000000002,48.13701733333335,Richard M. Nixon,1968
31.34613935483871,33.385331428571426,36.74517233333334,36.90520838709679,31.36923032258064,28.153888000000002,George S. McGovern,1972
59.23675387096777,58.03076285714285,53.42535400000001,55.2252741935484,57.17576967741936,61.53482799999998,Richard M. Nixon,1972
42.73839651612904,45.424087,44.78198963333334,43.37807922580647,33.94457570967743,38.87144709999999,Gerald R. Ford,1976
44.54171451612903,46.21298,46.71629453333333,58.224737516129075,55.923115903225785,48.47616773333333,Jimmy Carter,1976
37.76502874193549,42.0041505,34.69923236666668,29.31115751612905,30.992019129032265,36.95788189999999,Jimmy Carter,1980
41.44032061290323,44.190394,39.00892963333333,43.856480774193535,44.97709012903228,39.5608394,Ronald Reagan,1980
56.46001893548386,57.04377499999999,55.71443763333335,51.70926712903224,53.353092516129045,56.85396340000001,Ronald Reagan,1984
38.39550287096775,38.71461166666667,40.15352173333335,42.340328548387106,41.34193122580645,37.46848216666668,Walter F. Mondale,1984
50.933544483870975,52.514591625,41.35979013333333,41.92592561290322,43.53609635483871,48.218264733333314,George Bush,1988
42.257960193548385,41.51903625,49.68280470000001,49.24152583870967,47.74301641935485,43.86254366666667,Michael S. Dukakis,1988
45.8917864516129,42.678022,25.87830696666667,42.57123661290323,51.54290583870967,48.34259036666666,Bill Clinton,1992
34.25703903225807,35.53655000000001,31.9089701,32.17300409677419,36.322140129032256,38.892119966666655,George Bush,1992
50.375985967741926,49.765024800000006,48.29138929999999,47.42330738709678,46.40121035483872,50.86406043333333,Bill Clinton,1996
35.86550383870967,36.39062240000001,35.9570056,33.60363641935484,36.09894961290322,36.09537726666667,Bob Dole,1996
43.063169225806455,43.156770285714295,39.5939411,38.705004967741935,42.06425896774195,44.87577433333333,Al Gore,2000
45.37990616129034,46.706894142857145,46.50575390000001,45.9379731935484,45.48636316129034,42.683229766666656,George W. Bush,2000
48.29044329032257,48.6303895,46.63246779999998,46.3951804516129,46.46268858064517,50.06972193333334,George W. Bush,2004
46.04714503225807,47.00173,47.30664453333333,47.73755096774194,47.998162096774216,43.99747040000001,John Kerry,2004
49.598201677419354,50.81443925000001,46.34155243333334,46.334966258064526,45.69324793548387,46.50913703333333,Barack Obama,2008
42.761581193548366,43.86007125,43.16560966666667,41.88561258064516,43.56920670967742,45.874139499999984,John McCain,2008
47.515331774193534,47.86854316666666,46.38235213333332,46.61846987096775,46.853458483870966,48.19689533333334,Barack Obama,2012
47.56623783870967,47.71798433333333,45.95211506666667,45.86257270967741,46.43948629032257,45.46129896666666,Mitt Romney,2012
39.88320806451614,41.60672750000001,39.005344,40.365286129032256,38.166796451612896,40.529889000000004,Donald Trump,2016
45.65835806451614,45.76827,43.69961066666666,42.63638967741935,44.31398387096775,42.85209966666665,Hillary Rodham Clinton,2016
42.39973419354839,43.44203333333334,41.98578433333334,41.50888000000001,42.337772903225826,43.18275400000001,Donald Trump,2020
51.895944516129035,51.87619666666666,50.17056766666668,50.41213709677418,50.66435032258065,50.37581833333334,Joseph R. Biden Jr.,2020
